range,optimal_x,optimal_y
637,563.3092,409.3675
638,563.3092,409.3675
639,563.3093,409.3675
640,563.3093,409.3675
641,563.3093,409.3674
642,563.3093,409.3674
643,563.3093,409.3674
644,563.3093,409.3674
645,570.7138,408.9138
646,585.5226,408.0066
647,592.9270,407.5530
648,592.9270,407.5530
649,585.5227,408.0065
650,570.7138,408.9137
651,563.3094,409.3673
652,563.3094,409.3673
653,546.5375,408.1614
654,546.5375,408.1614
655,546.5375,408.1614
656,539.2800,406.6340
657,539.2800,406.6340
658,539.2800,406.6340
659,532.0209,405.1055
660,532.0209,405.1055
661,532.0209,405.1055
662,524.7618,403.5770
663,524.7618,403.5769
664,524.7618,403.5769
665,517.8683,402.1257
666,517.8036,402.1128
667,517.5042,402.0497
668,517.5042,402.0497
669,517.5042,402.0497
670,517.5042,402.0496
671,510.6091,400.5976
672,510.6069,400.5969
673,510.6046,400.5963
674,510.3321,400.5396
675,510.2451,400.5212
676,510.2451,400.5212
677,510.2451,400.5212
678,503.3476,399.0688
679,503.3454,399.0682
680,503.3432,399.0676
681,503.2208,399.0429
682,502.9859,398.9927
683,502.9859,398.9927
684,502.9859,398.9927
685,536.7974,345.6341
686,536.7974,345.6341
687,536.7974,345.6341
688,536.7974,345.6341
689,533.6071,338.9343
690,533.6071,338.9343
691,533.6071,338.9343
692,533.6071,338.9343
693,533.6071,338.9343
694,467.1462,362.4158
695,467.1462,362.4151
696,530.4533,332.5439
697,530.4542,332.5458
698,530.4550,332.5474
699,530.4167,332.2345
700,463.9568,355.7177
701,463.9559,355.7170
702,463.9559,355.7162
703,463.9559,355.7154
704,463.9549,355.7147
705,527.2263,325.5347
706,528.4614,337.8193
707,528.4614,337.8193
708,528.4614,337.8193
709,528.4614,337.8193
710,528.4614,337.8193
711,528.4614,337.8193
712,528.4614,337.8193
713,529.3284,330.4495
714,529.3284,330.4495
715,529.3284,330.4495
716,529.3284,330.4495
717,529.3284,330.4495
718,529.3284,330.4495
719,529.3284,330.4495
720,530.1034,323.0171
721,530.1034,323.0171
722,530.1034,323.0170
723,530.1034,323.0170
724,530.1034,323.0170
725,530.1035,323.0170
726,530.1035,323.0170
727,530.9700,315.6479
728,530.9700,315.6479
729,530.9700,315.6479
730,530.9700,315.6479
731,530.9700,315.6478
732,530.9701,315.6478
733,530.9701,315.6478
734,531.8366,308.2788
735,531.8366,308.2787
736,531.8366,308.2787
737,531.8366,308.2787
738,531.8367,308.2787
739,531.8367,308.2787
740,531.8367,308.2786
741,532.7965,300.9703
742,532.7965,300.9703
743,532.7965,300.9703
744,532.7965,300.9703
745,532.7965,300.9703
746,532.7965,300.9703
747,525.6440,313.1526
748,525.6440,313.1526
749,525.6440,313.1526
750,525.6440,313.1526
751,525.6440,313.1526
752,525.6440,313.1526
753,525.6440,313.1526
754,525.6440,313.1526
755,525.6440,313.1526
756,525.6440,313.1526
757,525.6440,313.1526
758,525.6440,313.1526
759,525.6440,313.1526
760,525.6440,313.1526
761,525.6440,313.1526
762,525.6440,313.1526
763,525.6440,313.1526
764,525.6440,313.1526
765,525.6440,313.1526
766,530.5832,307.6146
767,535.4393,302.0220
768,540.3780,296.4848
769,545.3168,290.9476
770,545.3168,290.9476
771,550.2539,285.4094
772,550.2556,285.4104
773,550.2556,285.4104
774,555.1927,279.8722
775,555.1927,279.8722
776,555.1927,279.8722
777,555.1927,279.8721
778,560.1315,274.3350
779,560.1315,274.3350
780,560.1316,274.3349
781,560.1316,274.3349
782,560.1316,274.3349
783,565.0704,268.7977
784,565.0704,268.7977
785,565.0704,268.7977
786,565.0704,268.7977
787,568.9784,264.4871
788,568.9785,264.4870
789,568.9785,264.4870
790,568.9785,264.4870
791,568.9785,264.4870
792,574.1637,259.1802
793,574.1637,259.1802
794,574.1637,259.1801
795,574.1637,259.1801
796,579.3498,253.8738
797,579.3498,253.8738
798,579.3498,253.8738
799,579.3498,253.8737
800,584.5359,248.5674
801,584.5359,248.5674
802,584.5359,248.5674
803,584.5359,248.5673
804,584.5360,248.5673
805,589.7220,243.2610
806,589.7220,243.2610
807,589.7221,243.2610
808,589.7221,243.2609
809,594.9073,237.9542
810,594.9073,237.9542
811,594.9073,237.9541
812,594.9082,237.9545
813,594.9082,237.9545
814,600.0934,232.6478
815,600.0935,232.6477
816,600.0935,232.6477
817,600.0935,232.6477
818,600.0935,232.6476
819,605.2796,227.3414
820,605.2796,227.3413
821,605.2796,227.3413
822,605.2796,227.3413
823,610.4657,222.0350
824,610.4658,222.0349
825,610.4658,222.0349
826,610.4660,222.0345
827,610.5596,222.0809
828,615.6510,216.7281
829,615.7461,216.7738
830,615.7461,216.7738
831,416.1745,263.3577
832,416.1745,263.3577
833,416.1745,263.3577
834,416.1745,263.3577
835,410.2990,267.8902
836,410.2990,267.8902
837,410.2990,267.8902
838,410.2990,267.8902
839,404.4235,272.4227
840,404.4235,272.4227
841,404.4235,272.4227
842,404.4235,272.4227
843,398.5479,276.9553
844,398.5479,276.9553
845,398.5479,276.9553
846,398.5479,276.9553
847,392.6724,281.4878
848,392.6724,281.4878
849,392.6724,281.4878
850,392.6724,281.4878
851,386.7969,286.0204
852,386.7969,286.0204
853,386.7969,286.0204
854,386.7969,286.0204
855,386.7969,286.0204
856,363.7593,296.4274
857,363.7593,296.4274
858,363.7593,296.4274
859,363.7593,296.4274
860,363.7593,296.4274
861,363.7593,296.4274
862,356.4067,297.4300
863,356.4067,297.4300
864,356.4067,297.4300
865,356.4067,297.4300
866,356.4067,297.4300
867,356.4067,297.4300
868,356.4067,297.4300
869,349.0541,298.4326
870,349.0541,298.4326
871,349.0541,298.4326
872,349.0541,298.4326
873,349.0541,298.4326
874,349.0541,298.4326
875,349.0541,298.4326
876,341.7016,299.4352
877,341.7016,299.4352
878,341.7016,299.4352
879,341.7016,299.4352
880,341.7016,299.4352
881,341.7016,299.4352
882,341.7016,299.4352
883,346.0126,233.0612
884,346.0126,233.0612
885,346.0126,233.0612
886,346.0126,233.0612
887,346.0126,233.0612
888,346.0126,233.0612
889,346.0126,233.0612
890,339.4249,229.6453
891,339.4249,229.6453
892,339.4249,229.6453
893,339.4249,229.6453
894,339.4249,229.6453
895,339.4249,229.6453
896,339.4249,229.6453
897,332.8372,226.2295
898,332.8372,226.2295
899,332.8372,226.2295
900,332.8372,226.2295
901,332.8372,226.2295
902,332.8372,226.2295
903,332.8372,226.2295
904,332.8372,226.2295
905,326.2495,222.8137
906,326.2495,222.8137
907,326.2495,222.8137
908,326.2495,222.8137
909,326.2495,222.8137
910,326.2495,222.8137
911,326.2495,222.8137
912,319.6618,219.3978
913,319.6618,219.3978
914,319.6618,219.3978
915,319.6618,219.3978
916,319.6618,219.3978
917,319.6618,219.3978
918,319.6618,219.3978
919,313.0742,215.9820
920,313.0742,215.9820
921,313.0742,215.9820
922,313.0742,215.9820
923,313.0742,215.9820
924,313.0742,215.9820
925,313.0742,215.9820
926,314.8994,216.4074
927,314.8994,216.4074
928,314.8994,216.4074
929,314.8994,216.4074
930,314.8994,216.4074
931,314.8994,216.4074
932,314.8994,216.4074
933,309.4111,211.4130
934,309.4111,211.4130
935,309.4111,211.4130
936,309.4111,211.4130
937,309.4111,211.4130
938,309.4111,211.4130
939,309.4111,211.4130
940,303.9227,206.4186
941,303.9227,206.4186
942,303.9227,206.4186
943,303.9227,206.4186
944,303.9227,206.4186
945,303.9227,206.4186
946,298.4344,201.4242
947,298.4344,201.4242
948,298.4344,201.4242
949,298.4344,201.4242
950,298.4344,201.4242
951,298.4344,201.4242
952,298.4344,201.4242
953,292.9460,196.4298
954,292.9460,196.4298
955,292.9460,196.4298
956,292.9460,196.4298
957,292.9460,196.4298
958,292.9460,196.4298
959,292.9460,196.4298
960,287.4577,191.4354
961,287.4577,191.4354
962,287.4577,191.4354
963,287.4577,191.4354
964,287.4577,191.4354
965,287.4577,191.4354
966,287.4577,191.4354
967,281.9694,186.4411
968,281.9694,186.4411
969,281.9694,186.4411
970,281.9694,186.4411
971,281.9694,186.4411
972,281.9694,186.4411
973,281.9694,186.4411
974,276.4810,181.4467
975,276.4810,181.4467
976,276.4810,181.4467
977,276.4810,181.4467
978,276.4810,181.4467
979,276.4810,181.4467
980,276.4810,181.4467
981,270.9927,176.4523
982,270.9927,176.4523
983,270.9927,176.4523
984,270.9927,176.4523
985,270.9927,176.4523
986,270.9927,176.4523
987,265.5044,171.4579
988,265.5044,171.4579
989,265.5044,171.4579
990,265.5044,171.4579
991,265.5044,171.4579
992,265.5044,171.4579
993,265.5044,171.4579
994,260.0160,166.4635
995,260.0160,166.4635
996,260.0160,166.4635
997,260.0160,166.4635
998,260.0160,166.4635
999,260.0160,166.4635
1000,260.0160,166.4635
1001,254.5277,161.4691
1002,254.5277,161.4691
1003,254.5277,161.4691
1004,254.5277,161.4691
1005,254.5277,161.4691
1006,254.5277,161.4691
1007,254.5277,161.4691
1008,249.0394,156.4748
1009,249.0394,156.4748
1010,249.0394,156.4748
1011,249.0394,156.4748
1012,249.0394,156.4748
1013,249.0394,156.4748
1014,249.0394,156.4748
1015,243.5510,151.4804
1016,243.5510,151.4804
1017,243.5510,151.4804
1018,243.5510,151.4804
1019,243.5510,151.4804
1020,243.5510,151.4804
1021,243.5510,151.4804
1022,238.0627,146.4860
1023,238.0627,146.4860
1024,238.0627,146.4860
1025,238.0627,146.4860
1026,238.0627,146.4860
1027,238.0627,146.4860
1028,238.0627,146.4860
1029,232.5744,141.4916
1030,232.5744,141.4916
1031,232.5744,141.4916
1032,232.5744,141.4916
1033,232.5744,141.4916
1034,232.5744,141.4916
1035,227.0860,136.4972
1036,227.0860,136.4972
1037,227.0860,136.4972
1038,227.0860,136.4972
1039,227.0860,136.4972
1040,227.0860,136.4972
1041,227.0860,136.4972
1042,221.5977,131.5028
1043,221.5977,131.5028
1044,221.5977,131.5028
1045,221.5977,131.5028
1046,221.5977,131.5028
1047,221.5977,131.5028
1048,221.5977,131.5028
1049,216.1094,126.5084
1050,216.1094,126.5084
1051,216.1094,126.5084
1052,216.1094,126.5084
1053,216.1094,126.5084
1054,216.1094,126.5084
1055,216.1094,126.5084
1056,210.6210,121.5141
1057,210.6210,121.5141
1058,210.6210,121.5141
1059,210.6210,121.5141
1060,210.6210,121.5141
1061,210.6210,121.5141
1062,210.6210,121.5141
1063,205.1327,116.5197
1064,205.1327,116.5197
1065,205.1327,116.5197
1066,205.1327,116.5197
1067,205.1327,116.5197
1068,205.1327,116.5197
1069,205.1327,116.5197
1070,199.6444,111.5253
1071,199.6444,111.5253
1072,199.6444,111.5253
1073,199.6444,111.5253
1074,199.6444,111.5253
1075,199.6444,111.5253
1076,199.6444,111.5253
1077,194.1560,106.5309
1078,194.1560,106.5309
1079,194.1560,106.5309
1080,194.1560,106.5309
1081,194.1560,106.5309
1082,194.1560,106.5309
1083,194.1560,106.5309
1084,188.6677,101.5365
1085,188.6677,101.5365
1086,188.6677,101.5365
1087,188.6677,101.5365
1088,188.6677,101.5365
1089,188.6677,101.5365
1090,188.6677,101.5365
1091,183.1794,96.5421
1092,183.1794,96.5421
1093,183.1794,96.5421
1094,183.1794,96.5421
1095,183.1794,96.5421
1096,183.1794,96.5421
1097,183.1794,96.5421
1098,177.6910,91.5478
1099,177.6910,91.5478
1100,177.6910,91.5478
1101,177.6910,91.5478
1102,177.6910,91.5478
1103,177.6910,91.5478
1104,177.6910,91.5478
1105,172.2027,86.5534
1106,172.2027,86.5534
1107,172.2027,86.5534
1108,172.2027,86.5534
1109,172.2027,86.5534
1110,172.2027,86.5534
1111,172.2027,86.5534
1112,166.7144,81.5590
1113,166.7144,81.5590
1114,166.7144,81.5590
1115,166.7144,81.5590
1116,166.7144,81.5590
1117,166.7144,81.5590
1118,166.7144,81.5590
1119,161.2260,76.5646
1120,161.2260,76.5646
1121,161.2260,76.5646
1122,161.2260,76.5646
1123,161.2260,76.5646
1124,161.2260,76.5646
1125,161.2260,76.5646
1126,155.7377,71.5702
1127,155.7377,71.5702
1128,155.7377,71.5702
1129,155.7377,71.5702
1130,155.7377,71.5702
1131,155.7377,71.5702
1132,155.7377,71.5702
1133,150.2494,66.5758
1134,150.2494,66.5758
1135,150.2494,66.5758
1136,150.2494,66.5758
1137,150.2494,66.5758
1138,150.2494,66.5758
1139,150.2494,66.5758
1140,144.7610,61.5814
1141,144.7610,61.5814
1142,144.7610,61.5814
1143,144.7610,61.5814
1144,144.7610,61.5814
1145,144.7610,61.5814
1146,144.7610,61.5814
1147,139.2727,56.5871
1148,139.2727,56.5871
1149,139.2727,56.5871
